ANIM3,ALSO3,BBAS3,BBDC3,COGN3,IGTA3,ITSA4,LAME4,MGLU3,VVAR3
19.26,29.10,49.35,31.00,9.85,37.73,12.02,15.39,22.37,4.03
19.99,29.33,49.37,30.91,9.81,37.69,11.80,15.41,22.31,4.12
19.95,29.30,49.68,31.00,9.75,38.18,11.91,15.67,23.91,4.10
20.00,29.00,49.79,31.12,9.55,37.29,11.95,15.51,23.84,4.14
19.39,29.40,50.08,31.73,9.44,38.27,11.77,15.65,24.53,4.52
19.25,29.10,49.37,30.70,9.35,37.96,11.44,15.53,25.03,4.56
19.18,29.10,49.49,27.52,9.25,37.81,11.44,15.03,24.02,4.72
19.66,29.10,50.59,30.98,9.40,39.00,11.54,15.25,24.19,4.53
19.94,29.10,51.03,30.37,9.61,38.50,11.49,15.70,23.24,4.74
19.78,29.21,50.16,30.06,10.10,38.32,11.45,15.11,23.31,4.61
19.89,28.84,48.37,29.20,10.00,37.91,11.25,14.85,22.50,4.73
19.54,29.50,47.90,28.95,9.96,37.60,11.27,15.05,22.28,4.55
19.01,28.55,47.11,28.69,9.44,36.95,11.25,15.07,21.63,4.30
18.92,28.00,45.64,28.17,9.05,36.02,11.08,14.70,20.88,4.09
18.41,28.00,44.85,28.40,8.80,35.60,11.08,14.53,21.10,4.03
18.82,28.40,46.57,29.38,9.08,37.13,11.44,15.25,21.63,4.11
19.00,28.90,49.23,30.65,9.50,38.11,11.79,15.50,22.43,4.31
18.57,29.19,48.82,30.21,9.47,38.01,11.72,15.32,22.53,4.32
18.21,29.25,48.90,30.22,9.60,37.99,11.68,15.05,22.56,4.20
18.74,29.10,49.62,30.02,9.50,37.63,11.55,15.05,22.11,4.20
18.70,29.10,50.59,30.45,9.98,38.13,11.58,15.24,22.25,4.26
19.30,29.48,51.25,31.47,10.03,38.51,11.87,15.64,23.63,4.41
19.30,29.45,51.20,32.05,10.02,38.80,12.16,16.12,23.66,4.58
19.16,29.45,51.95,32.55,10.07,39.75,12.33,16.36,24.11,4.80
18.99,29.49,51.85,32.65,10.34,40.00,12.39,16.08,24.50,4.70
18.72,29.40,52.09,32.77,10.39,40.08,12.42,15.67,24.34,4.96
18.52,30.13,52.94,32.70,10.65,41.01,12.45,15.80,24.32,4.86
18.24,30.00,51.48,32.32,10.49,40.95,12.15,15.39,23.90,4.65
18.20,29.90,52.79,32.75,10.22,40.81,12.29,15.48,23.75,4.95
18.01,28.85,52.36,32.95,10.50,41.65,12.40,15.85,24.81,5.00
18.51,28.49,51.87,32.65,10.44,41.77,12.21,16.17,25.31,5.06
19.20,28.65,52.90,32.73,10.40,41.80,12.24,16.04,25.90,5.00
19.57,28.00,52.26,32.79,10.35,41.58,12.18,15.73,25.39,4.84
19.72,28.90,51.43,32.44,10.55,43.50,12.02,16.04,26.20,5.04
19.08,28.94,50.52,32.00,10.48,43.70,11.98,16.03,26.45,4.97
19.20,28.80,50.47,31.82,10.19,43.27,11.97,15.85,25.94,5.07
19.05,29.14,51.65,32.19,10.25,44.00,12.20,15.93,26.01,5.07
19.22,29.00,52.50,32.94,10.49,44.14,12.38,16.14,26.25,5.06
19.15,29.50,52.91,33.70,10.87,45.01,12.60,16.51,26.58,5.10
19.25,29.77,53.04,33.85,10.93,45.13,12.65,16.49,26.25,5.11
18.95,29.70,52.55,33.27,10.66,44.26,12.58,16.07,25.81,5.04
19.00,29.79,53.69,33.40,10.61,44.50,12.98,16.26,26.06,4.98
19.00,29.90,53.80,33.50,10.94,44.75,12.94,16.33,26.08,4.97
19.11,29.80,53.94,33.45,10.97,45.95,12.89,16.41,26.39,5.07
19.14,30.99,53.88,33.50,10.85,45.40,12.92,15.95,26.28,5.12
19.50,30.70,53.19,33.45,11.10,45.50,12.78,15.85,26.56,5.45
19.70,31.70,54.30,34.08,11.24,46.04,12.97,15.85,27.61,5.99
19.67,32.20,55.18,34.84,11.57,46.66,13.15,16.32,27.64,6.24
19.65,33.20,55.00,35.11,11.70,47.52,13.27,16.56,28.26,6.35
20.15,34.45,54.95,35.34,12.38,49.11,13.28,16.63,28.67,6.75
20.37,34.75,54.26,35.10,12.33,50.20,13.34,17.32,29.19,6.73
20.79,34.83,53.20,34.70,11.82,49.20,13.20,17.19,28.85,6.50
20.16,34.39,52.00,34.01,11.45,48.88,13.00,16.95,29.01,6.52
20.10,34.66,51.69,34.02,11.66,48.30,12.95,16.74,28.83,7.03
